ID,group,condition,eqtot,emoreact,cogemp,socialskills,age,male,relg,spirit,godimp,asian,raisedrelg,beliefgod,raisedgod,eq1,eq2,eq3,eq4,eq5,eq6,eq7,eq8,eq9,eq10,eq11,eq12,eq13,eq14,eq15,eq16,eq17,eq18,eq19,eq20,eq21,eq22,eq23,eq24,eq25,eq26,eq27,eq28,eq29,eq30,eq31,eq32,eq33,eq34,eq35,eq36,eq37,eq38,eq39,eq40
148,16,0,48,17,15,6,20,0,2,5,2,0,0,0,0,0,0,1,1,2,0,2,2,0,2,2,2,1,0,1,2,1,2,1,0,0,2,0,2,1,2,2,2,2,0,2,1,1,1,1,2,1,2,1,1
149,17,0,57,17,18,10,19,0,5,5,6,1,1,1,1,2,2,2,2,2,2,1,2,1,2,0,1,1,1,2,2,0,2,0,0,1,2,0,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1
150,17,0,53,16,17,7,20,0,1,4,1,0,1,0,1,1,1,2,2,0,2,2,0,0,2,1,2,2,2,2,1,2,2,2,0,2,0,0,2,1,2,1,0,2,0,2,1,1,1,2,2,0,2,2,2
151,17,0,33,5,12,4,20,0,5,5,5,1,1,1,1,1,0,1,0,1,1,2,1,1,2,1,0,0,1,2,1,1,0,1,0,0,1,1,2,0,2,1,1,0,1,1,0,0,2,0,1,1,1,0,1
152,18,0,41,12,13,8,21,0,1,3,1,0,0,0,0,2,1,2,1,0,0,2,1,1,0,1,1,1,1,1,1,0,1,2,0,2,1,0,2,0,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
153,18,0,41,6,13,7,18,1,2,4,2,1,0,0,0,1,1,0,1,1,1,2,2,1,2,1,0,1,2,1,0,1,1,1,2,1,0,0,2,1,1,0,1,2,2,1,1,0,2,1,2,0,0,1,1
154,18,0,39,16,10,5,19,0,4,3,4,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,1,0,1,1,0,1,0,1,2,2,2,1,2,1,1,1,0,0,0,1,2,1
155,19,0,47,12,15,5,20,0,4,5,7,0,1,1,1,2,0,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,0,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,0,0,0,1
156,19,0,41,13,13,5,20,0,2,6,1,1,1,0,0,2,1,2,1,0,2,1,2,1,1,1,1,1,1,2,1,1,2,2,0,0,0,0,2,0,2,2,2,1,0,1,0,1,0,1,2,0,1,0,1
157,19,0,38,6,9,8,19,0,3,2,2,1,0,0,0,2,0,1,2,2,0,2,2,0,2,0,0,0,0,1,1,2,1,2,1,2,1,0,2,1,1,1,1,1,2,0,1,0,1,1,0,0,1,0,1
159,20,1,35,12,9,5,19,1,3,4,5,1,1,1,1,1,1,1,1,0,2,2,1,0,2,1,1,1,0,1,1,2,1,1,0,0,1,0,2,0,0,1,1,1,0,1,2,1,2,1,0,0,1,1,0
160,20,1,48,8,15,8,20,0,1,2,1,0,1,0,1,2,1,1,2,2,1,2,2,0,0,1,1,1,0,2,0,2,1,2,2,1,0,1,2,2,1,1,2,2,2,1,0,0,2,2,2,0,1,0,1
161,21,1,56,19,15,8,18,0,4,4,4,1,0,0,0,2,2,1,2,1,0,1,2,1,1,2,2,2,1,2,2,0,2,2,2,1,2,2,2,0,1,1,1,2,2,2,2,2,1,1,0,0,1,2,1
162,21,1,40,11,9,8,19,1,4,4,5,1,0,1,0,1,1,1,2,1,2,2,1,1,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
163,21,1,50,11,13,7,21,0,5,7,7,0,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,2,0,1,1,0,1,1
164,22,1,41,13,11,8,21,0,1,7,1,0,1,0,1,2,0,1,2,0,1,2,1,0,2,0,1,1,2,0,1,0,1,1,0,1,0,0,2,0,1,2,1,1,2,2,1,1,2,1,2,2,0,1,1
165,22,1,40,13,11,3,19,0,4,3,5,1,1,1,0,2,0,2,0,1,0,2,1,1,2,0,1,1,1,1,2,2,1,1,0,0,0,0,1,2,1,1,1,2,2,1,1,1,2,1,0,0,1,1,1
166,22,1,58,10,19,11,19,0,1,1,1,0,1,0,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,0,2,2,0,0,0,1,2,2,2,1,1,2
167,23,1,31,9,5,4,19,1,1,1,1,1,0,0,0,1,1,1,0,2,2,1,1,0,2,2,1,1,0,0,2,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,2
168,23,1,53,17,14,4,20,0,3,7,6,1,1,1,1,2,0,2,0,1,1,2,1,1,2,0,1,2,1,1,2,1,2,2,2,1,0,2,2,2,2,2,2,2,1,1,1,1,2,1,2,0,1,1,1
169,23,1,53,12,16,9,20,0,2,4,2,0,0,0,0,2,1,1,1,2,1,2,2,1,0,1,1,2,1,2,1,0,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1
170,24,1,48,17,11,11,19,0,1,2,1,1,0,0,0,1,1,2,2,0,0,2,2,2,2,0,2,1,1,2,0,0,2,1,0,2,2,1,1,1,0,2,2,2,1,1,2,2,0,1,2,2,0,1,0
171,24,1,31,8,10,5,18,1,4,4,5,1,1,1,1,2,0,1,1,1,0,2,1,1,2,1,1,0,1,1,1,0,1,1,0,0,1,0,2,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1
172,24,1,30,9,8,2,19,0,1,1,1,1,0,0,0,1,0,1,0,1,2,1,0,0,2,0,1,0,1,0,1,0,1,2,0,0,0,0,2,0,2,2,1,2,1,1,0,0,0,0,2,1,0,1,1
173,25,1,41,12,13,6,20,0,5,5,6,1,1,1,1,1,0,2,1,0,0,2,1,1,2,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2
174,25,1,54,14,19,9,25,0,1,5,1,0,1,0,1,2,1,2,2,0,0,2,2,2,1,2,1,1,2,1,1,0,2,2,1,2,1,1,2,1,2,1,1,2,0,2,1,1,2,1,2,0,2,1,2
175,25,1,43,8,16,4,19,0,2,2,3,1,0,0,0,1,1,1,0,1,1,0,1,2,1,2,1,1,2,1,1,1,1,1,2,0,2,1,1,0,2,1,1,1,2,1,0,0,2,1,1,2,1,0,2
176,26,0,29,10,9,3,22,1,4,4,4,1,0,0,0,2,0,1,0,0,2,1,2,0,2,0,1,1,2,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,2,0,0,1,1
177,26,0,35,11,10,1,19,0,2,4,3,0,0,0,0,2,1,1,0,1,1,0,0,0,2,0,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
178,26,0,43,12,12,7,18,1,2,2,2,0,0,0,0,1,0,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,2,0,1,1,1,2,2,1,1,1,2,0,1,0,1,1,1
179,27,0,43,11,11,8,19,0,2,3,1,1,0,0,0,2,0,2,2,0,1,2,2,1,2,1,0,1,1,0,1,1,1,2,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,1,1,2,1,2
180,27,0,39,10,10,2,22,1,2,5,4,1,0,1,0,1,0,1,0,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,0,0,0,2,1,1,1,1,0,1,1,1,0,2,1,1,0,1,0,2
181,27,0,32,12,8,3,17,1,2,2,2,1,1,0,1,0,1,1,0,0,1,0,1,0,2,2,1,1,2,0,1,1,1,0,0,0,1,2,1,0,0,1,1,0,1,1,1,2,0,2,0,1,1,1,1
182,28,0,45,10,13,6,19,0,5,4,5,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,0,1,2,1,2,0,1,2,1,1,1,0,1,2,0,1,1,1,2,1,1,0,1,1,1,0,2,1,2
183,28,0,42,16,6,8,20,1,1,1,1,0,0,0,0,1,1,2,1,1,0,2,1,0,1,0,2,1,1,0,2,2,1,1,1,1,0,1,2,0,1,1,2,1,1,2,1,1,1,1,0,2,0,1,2
184,28,0,52,11,17,7,19,0,1,1,1,0,0,0,0,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1
185,29,0,66,20,19,6,19,0,3,3,1,1,1,0,0,2,0,2,1,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2
186,29,0,40,16,8,4,20,1,2,3,2,1,1,0,0,1,1,1,0,1,1,2,1,0,2,1,1,2,1,1,2,1,1,1,0,0,1,1,2,0,0,2,2,1,1,1,2,1,1,0,1,0,0,1,2
187,29,0,50,16,12,9,22,1,7,7,7,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,0,1,0,2,2,1,0,1,2,1,1,2,1,0,1,1,2
188,30,0,49,16,16,5,19,0,5,4,5,0,1,1,1,2,0,2,1,1,1,2,1,1,2,1,1,2,1,1,2,0,2,1,0,0,1,1,2,0,0,2,1,2,1,1,1,1,2,2,2,1,2,1,2
189,30,0,49,14,13,9,22,0,1,4,1,0,1,0,1,2,2,2,1,2,2,2,1,1,2,0,1,1,2,2,2,0,2,2,1,2,0,0,2,0,1,1,2,2,0,1,1,1,2,1,0,1,1,0,1
190,30,0,36,13,9,6,20,0,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,2,1,1,0,0,1,1,0,2,0,1,2,1,1,0,1,1,1,0,0,1,1,2,1,1
191,31,0,59,20,15,7,35,0,NA,7,1,0,0,0,0,1,0,1,1,2,1,2,2,2,2,2,2,2,2,1,2,0,2,2,1,1,2,1,2,0,1,2,2,2,2,2,2,2,2,0,1,1,1,1,2
192,31,0,42,11,10,4,21,0,5,5,6,1,1,1,1,1,1,1,0,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,2,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,0,0,1,0,1
193,31,0,16,4,3,2,18,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,1
194,32,0,46,11,12,8,19,0,3,3,3,0,0,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
195,32,0,47,12,12,7,18,0,1,1,1,0,0,0,0,2,1,0,1,2,1,2,2,0,2,0,2,1,2,0,1,2,1,2,2,1,1,0,2,0,1,1,2,2,2,1,1,1,2,1,0,0,1,1,1
196,32,0,27,1,10,1,20,0,1,1,1,1,0,0,0,1,0,0,0,2,2,0,1,1,2,0,0,0,1,2,0,1,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,2,1,2,0,0,0,2
197,33,0,36,15,6,7,20,1,4,4,4,1,1,1,1,1,1,1,1,0,2,2,2,0,0,1,2,1,1,1,1,1,1,2,1,1,0,0,1,0,0,1,1,0,0,2,1,2,0,0,1,0,1,2,1
198,33,0,23,9,2,5,19,1,1,1,1,1,0,0,0,1,0,1,1,2,1,1,2,0,2,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2
199,33,0,55,18,14,6,22,0,6,6,1,1,1,0,0,1,0,2,2,1,1,1,2,2,2,0,2,1,1,0,1,1,2,2,2,0,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1
200,34,0,48,13,14,6,19,0,5,6,6,1,1,1,1,2,1,1,1,2,0,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,0,1
201,34,0,37,10,9,5,18,1,1,1,2,1,0,0,0,1,1,1,1,1,0,1,1,0,2,1,1,1,1,2,2,1,0,1,2,1,0,0,1,1,1,1,1,0,2,1,0,1,1,1,1,0,0,1,2
202,35,0,18,1,6,1,19,1,5,5,5,1,1,1,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,2,0,1,0,2,0,0,0,1,0,1
203,35,0,55,13,16,8,19,1,4,3,4,0,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,1,0,1,2,2,1,1,1,2,0,2,1,2,2,2,1,2,1,2,1,1,0,1,1,2
204,35,0,36,4,12,6,18,0,6,6,7,1,1,1,1,2,0,1,1,1,1,2,1,1,2,1,0,0,0,1,1,1,1,2,1,1,0,0,2,1,2,0,1,1,1,0,0,0,1,1,2,1,1,0,1
205,36,0,27,3,11,2,21,0,2,6,2,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,2,1,1,0,2,0,0,1,0,2,1,1,0,0,0,1,1,0,0,2,0,2,1,0,0,1
206,36,0,36,6,13,1,21,0,5,6,2,1,1,0,0,2,0,1,0,1,1,1,0,2,2,0,0,0,0,2,2,2,0,2,1,0,0,2,2,0,1,0,1,2,0,1,0,1,2,2,2,0,0,0,1
207,36,0,42,12,12,7,33,0,5,4,4,0,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,0,1,1,0,1,2,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0
208,37,1,42,9,14,6,20,0,1,1,1,1,0,0,0,2,1,1,1,1,0,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,0,2,1,1,1,1,1,0,1,1,1,1,0,1,0,1
209,37,1,67,20,20,9,19,0,6,7,7,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
210,37,1,51,17,15,4,20,0,2,2,2,1,0,0,1,2,0,2,0,1,2,0,2,0,2,1,1,2,2,1,2,1,2,2,1,1,0,1,2,0,2,1,1,2,2,1,2,1,2,0,2,1,1,2,1
211,38,1,66,21,19,7,19,0,1,7,1,0,0,0,0,2,0,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,0,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2
212,38,1,48,14,12,5,21,0,5,3,4,0,1,1,1,2,1,1,1,1,2,1,0,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,0,2,1,0,1,1
213,38,1,40,10,12,3,19,0,3,7,5,1,1,1,1,1,1,1,0,1,2,1,0,0,2,0,1,1,1,2,1,1,0,2,0,1,1,0,2,1,1,2,1,0,2,1,1,1,2,0,2,0,2,0,2
214,39,1,51,15,16,6,18,1,5,2,5,1,1,1,1,2,0,2,1,2,2,2,1,1,2,1,1,2,2,2,1,0,1,2,1,1,1,0,2,0,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1
215,39,1,46,11,13,6,18,0,3,5,2,0,1,1,1,2,0,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,0,1,2,1,0,1,2,0,2,2,0,1,2,1,1,1,2,2,1,1,0,0,1
216,39,1,38,6,8,6,19,0,1,4,2,1,0,0,0,1,1,1,0,1,1,2,2,2,2,0,0,0,1,0,1,1,1,1,2,0,0,1,2,1,1,1,0,1,2,1,1,0,1,1,0,1,2,0,2
217,40,1,45,10,11,6,19,1,3,4,2,0,0,0,0,1,0,1,1,2,2,2,2,1,2,1,1,0,0,2,1,1,1,2,2,1,1,1,2,0,0,1,1,1,2,1,1,1,1,2,1,0,1,1,1
218,40,1,52,16,11,10,19,1,2,2,2,0,0,0,0,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,0,1,2,2,1,2,1,0,2,2,0,0,1,0,1,2
219,40,1,53,12,18,10,19,1,1,1,1,0,0,0,0,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,0,1,2,2,1,0,1,0,2,2,2,2,1,0,1,1,2,1,2,2,1,1,2
